"title","authors","journal_date_doi","date","doi","volume_issue","pages","abstract","link"
"Heart Disease in Children.","Garcia RU, Peddy SB.","Prim Care. 2018 Mar;45(1):143-154. doi: 10.1016/j.pop.2017.10.005.","2018","10.1016/j.pop.2017.10.005.","45(1)","143-154","More children than ever born with congenital heart disease (CHD) are growing into adulthood. Primary care providers play a key role in diagnosis, management, and referral of children with CHD because many common cardiac complaints (eg, feeding intolerance, cyanosis, …","https://pubmed.ncbi.nlm.nih.gov/29406940/"
"Heart disease in pregnancy.","Emmanuel Y, Thorne SA.","Best Pract Res Clin Obstet Gynaecol. 2015 Jul;29(5):579-97. doi: 10.1016/j.bpobgyn.2015.04.002. Epub 2015 Apr 16.","2015","10.1016/j.bpobgyn.2015.04.002.","29(5)","579-97","Cardiac disease is the leading cause of maternal mortality in the developed world. The majority of women with heart disease are able to successfully undergo pregnancy. ...We review the presentation and management of both congenital and acquired heart …","https://pubmed.ncbi.nlm.nih.gov/26026739/"
"Acquired Heart Disease in Children.","Ishimine P.","Emerg Med Clin North Am. 2025 Nov;43(4):753-768. doi: 10.1016/j.emc.2025.06.007. Epub 2025 Aug 28.","2025","10.1016/j.emc.2025.06.007.","43(4)","753-768","Acquired heart disease in children can have both acute and long-term consequences. Common acquired heart diseases include endocarditis, myocarditis, pericarditis, pericardial effusion, Kawasaki disease, myocardial infarction, multisystem inflamm …","https://pubmed.ncbi.nlm.nih.gov/41106879/"
"Heart disease in children.","Harris GD.","Prim Care. 2000 Sep;27(3):767-84;vii-viii. doi: 10.1016/s0095-4543(05)70173-1.","2000","10.1016/s0095-4543(05)70173-1.","27(3)","767-84","Advances in the understanding of the pathophysiology, diagnosis, and medical and surgical management of neonates with cardiovascular disease has led to their improved survival rates. These improvements have resulted in an increased number of pediatric patients presenting t …","https://pubmed.ncbi.nlm.nih.gov/10918679/"
"Hypertensive heart disease: is it really a pathology?","Bellicini MG.","Hypertens Res. 2025 Oct;48(10):2737-2739. doi: 10.1038/s41440-025-02312-x. Epub 2025 Aug 4.","2025","10.1038/s41440-025-02312-x.","48(10)","2737-2739","Hypertensive heart disease is not a direct cause of heart failure. Left ventricular hypertrophy is common in hypertension but rarely progresses to HFpEF or HFrEF. ...","https://pubmed.ncbi.nlm.nih.gov/40760163/"
"Diabetic heart disease.","Asmal AC, Leary WP, Thandroyen F.","S Afr Med J. 1980 May 10;57(19):788-90.","1980 May 10","N/A","57(19)","788-90","The fact that a significant proportion of diabetics die of heart disease has led to the belief that the excess mortality is due to coronary athersclerosis, yet many risk factors for the latter are common to diabetics and non-diabetics. In fact, heart disea …","https://pubmed.ncbi.nlm.nih.gov/6996126/"
"Heart disease in diabetes mellitus.","Raman M, Nesto RW.","Endocrinol Metab Clin North Am. 1996 Jun;25(2):425-38. doi: 10.1016/s0889-8529(05)70331-5.","1996","10.1016/s0889-8529(05)70331-5.","25(2)","425-38","The spectrum of heart disease in diabetic patients is broad and complex. This article discusses the epidemiologic associations between the two causes. ...The clinical manifestations are explored, and the treatment of heart disease as it pertains to dia …","https://pubmed.ncbi.nlm.nih.gov/8799707/"
"Heart disease in Asia.","Sasayama S.","Circulation. 2008 Dec 16;118(25):2669-71. doi: 10.1161/CIRCULATIONAHA.108.837054.","2008 Dec 16","10.1161/CIRCULATIONAHA.108.837054.","118(25)","2669-71","","https://pubmed.ncbi.nlm.nih.gov/19106388/"
"Pulmonary Hypertension in Left Heart Disease.","Reddy YNV, Borlaug BA.","Clin Chest Med. 2021 Mar;42(1):39-58. doi: 10.1016/j.ccm.2020.11.002.","2021","10.1016/j.ccm.2020.11.002.","42(1)","39-58","Pulmonary hypertension is common in left heart disease and is related most commonly to passive back transmission of elevated left atrial pressures. Some patients, however, may develop pulmonary vascular remodeling superimposed on their left-sided heart dis …","https://pubmed.ncbi.nlm.nih.gov/33541616/"
"Biomarkers in pediatric heart disease.","Nawaytou H, Bernstein HS.","Biomark Med. 2014;8(7):943-63. doi: 10.2217/bmm.14.37.","2014","10.2217/bmm.14.37.","8(7)","943-63","In this review, we discuss the use of biomarkers in differentiating cardiac from noncardiac disease; predicting the prognosis of patients with heart failure, pulmonary hypertension and dilated cardiomyopathy; diagnosing subclinical cardiac involvement in muscular dy …","https://pubmed.ncbi.nlm.nih.gov/25307548/"
